id,name,latitude,longitude
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284
3300,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114
3747,E 84 St & 3 Ave,40.77755374298887,-73.95512759685516
3911,Wyckoff St & Nevins St,40.683426,-73.984275
410,Suffolk St & Stanton St,40.72066442,-73.98517977
276,Duane St & Greenwich St,40.71748752,-74.0104554
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772
3054,Greene Ave & Throop Ave,40.6894932,-73.942061
3272,Jersey & 3rd,40.72333158646436,-74.04595255851744
3314,W 95 St & Broadway,40.7937704,-73.971888
3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
3773,Knickerbocker Ave & Thames St,40.70539,-73.92976
528,2 Ave & E 31 St,40.743,-73.977
195,Liberty St & Broadway,40.70905623,-74.01043382
223,W 13 St & 7 Ave,40.73781509,-73.99994661
3551,3 Ave & E 112 St,40.795508,-73.941606
3821,Evergreen Ave & Noll St,40.70106,-73.93318
458,11 Ave & W 27 St,40.751396,-74.005226
466,W 25 St & 6 Ave,40.74395411,-73.99144871
3352,Sigourney St & Columbia St,40.67267243410948,-74.0087952464819
3572,34 Ave & 38 St,40.756913,-73.921631
3607,31 Ave & 14 St,40.7682,-73.9322662
3153,E 71 St & 2 Ave,40.76817546742245,-73.95910263061523
372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519
3771,McKibbin St & Bogart St,40.706237,-73.933871
3524,19 St & 24 Ave,40.7774552,-73.9225403
3527,5 Ave & E 126 St,40.80698,-73.941747
3622,E 128 St & Madison Ave,40.80756,-73.939182
3653,31 St & 35 Ave,40.75820464696758,-73.92832159996033
3860,Wilson Ave & Troutman St,40.70166,-73.92754
3883,Harman St & Seneca Ave,40.70577,-73.91292
3276,Marin Light Rail,40.71458403535893,-74.04281705617905
3310,14 St & 7 Ave,40.663779,-73.98396846
3809,W 55 St & 6 Ave,40.763189,-73.978434
3849,Suydam St & St. Nicholas Ave,40.70636,-73.91945
390,Duffield St & Willoughby St,40.69221589,-73.9842844
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117
3328,W 100 St & Manhattan Ave,40.795,-73.9645
3373,3 St & 3 Ave,40.6750705,-73.98775226
3692,5 St & Market St,40.699997484388504,-73.97440128028393
3793,Stuyvesant Walk & 1 Av Loop,40.732339777151054,-73.97898383438587
3823,Beaver St & Fayette St,40.70099,-73.93921
267,Broadway & W 36 St,40.752,-73.989
3463,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
